GEO,CROPS,STRUCPRO\TIME	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Kriti,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Voreia Ellada,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Anatoliki Makedonia, Thraki,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Kentriki Makedonia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Dytiki Makedonia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Ipeiros,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Kentriki Ellada,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Thessalia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Ionia Nisia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Dytiki Ellada,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Sterea Ellada,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Peloponnisos,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 1,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 2,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Spain,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	2,188.17	2,124.97	2,171.20	2,176.35	2,256.85	2,062.71	2,063.68	1,920.09	1,914.66	2,068.76 p
Noroeste (ES),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Galicia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Principado de Asturias,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Cantabria,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Noreste (ES),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
País Vasco,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Comunidad Foral de Navarra,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
La Rioja,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Aragón,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Comunidad de Madrid,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Comunidad de Madrid,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Centro (ES),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Castilla y León,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Castilla-la Mancha,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extremadura,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Este (ES),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Cataluña,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Comunitat Valenciana,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Illes Balears,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Sur (ES),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Andalucía,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Región de Murcia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Ciudad de Ceuta,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Ciudad de Melilla,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Canarias,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Canarias,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 1,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 2,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
France,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	5,303.33	5,319.15	5,297.28	5,480.21	5,542.25	5,332.08	5,234.09	5,244.25	4,513.52	5,229.95
Île de France,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Île de France,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Centre - Val de Loire,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Centre - Val de Loire,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Bourgogne - Franche-Comté,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Bourgogne,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Franche-Comté,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Normandie,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Basse-Normandie,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Haute-Normandie,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Hauts-de-France,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Nord-Pas-de-Calais,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Picardie,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Grand Est,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Alsace,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Champagne-Ardenne,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Lorraine,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Pays-de-la-Loire,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Pays-de-la-Loire,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Bretagne,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Bretagne,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Nouvelle-Aquitaine,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Aquitaine,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Limousin,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Poitou-Charentes,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Occitanie,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Languedoc-Roussillon,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Midi-Pyrénées,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Auvergne - Rhône-Alpes,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Auvergne,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Rhône-Alpes,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Provence-Alpes-Côte d'Azur,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Provence-Alpes-Côte d'Azur,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Corse,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
