,date,dateRelease,shapeId,comdty,param,value
163,2012-01-01,2021-09-23,Kosovo (under United Nations Security Council Resolution 1244/99),Wheat and spelt,Main area (1000 ha),
164,2012-01-01,2021-09-23,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Wheat and spelt,EU standard humidity (%),14.0
165,2012-01-01,2021-09-23,European Union - 27 countries (from 2020),Wheat and spelt,EU standard humidity (%),14.0
166,2012-01-01,2021-09-23,European Union - 28 countries (2013-2020),Wheat and spelt,EU standard humidity (%),14.0
167,2012-01-01,2021-09-23,Belgium,Wheat and spelt,EU standard humidity (%),14.0
168,2012-01-01,2021-09-23,Bulgaria,Wheat and spelt,EU standard humidity (%),14.0
169,2012-01-01,2021-09-23,Czechia,Wheat and spelt,EU standard humidity (%),14.0
170,2012-01-01,2021-09-23,Denmark,Wheat and spelt,EU standard humidity (%),14.0
171,2012-01-01,2021-09-23,Germany (until 1990 former territory of the FRG),Wheat and spelt,EU standard humidity (%),14.0
172,2012-01-01,2021-09-23,Estonia,Wheat and spelt,EU standard humidity (%),14.0
173,2012-01-01,2021-09-23,Ireland,Wheat and spelt,EU standard humidity (%),14.0
174,2012-01-01,2021-09-23,Greece,Wheat and spelt,EU standard humidity (%),14.0
175,2012-01-01,2021-09-23,Spain,Wheat and spelt,EU standard humidity (%),14.0
176,2012-01-01,2021-09-23,France,Wheat and spelt,EU standard humidity (%),14.0
177,2012-01-01,2021-09-23,Croatia,Wheat and spelt,EU standard humidity (%),14.0
178,2012-01-01,2021-09-23,Italy,Wheat and spelt,EU standard humidity (%),14.0
179,2012-01-01,2021-09-23,Cyprus,Wheat and spelt,EU standard humidity (%),14.0
180,2012-01-01,2021-09-23,Latvia,Wheat and spelt,EU standard humidity (%),14.0
181,2012-01-01,2021-09-23,Lithuania,Wheat and spelt,EU standard humidity (%),14.0
182,2012-01-01,2021-09-23,Luxembourg,Wheat and spelt,EU standard humidity (%),14.0
183,2012-01-01,2021-09-23,Hungary,Wheat and spelt,EU standard humidity (%),14.0
184,2012-01-01,2021-09-23,Malta,Wheat and spelt,EU standard humidity (%),14.0
185,2012-01-01,2021-09-23,Netherlands,Wheat and spelt,EU standard humidity (%),14.0
186,2012-01-01,2021-09-23,Austria,Wheat and spelt,EU standard humidity (%),14.0
187,2012-01-01,2021-09-23,Poland,Wheat and spelt,EU standard humidity (%),14.0
188,2012-01-01,2021-09-23,Portugal,Wheat and spelt,EU standard humidity (%),14.0
189,2012-01-01,2021-09-23,Romania,Wheat and spelt,EU standard humidity (%),14.0
190,2012-01-01,2021-09-23,Slovenia,Wheat and spelt,EU standard humidity (%),14.0
191,2012-01-01,2021-09-23,Slovakia,Wheat and spelt,EU standard humidity (%),14.0
192,2012-01-01,2021-09-23,Finland,Wheat and spelt,EU standard humidity (%),14.0
193,2012-01-01,2021-09-23,Sweden,Wheat and spelt,EU standard humidity (%),14.0
194,2012-01-01,2021-09-23,Iceland,Wheat and spelt,EU standard humidity (%),
195,2012-01-01,2021-09-23,Norway,Wheat and spelt,EU standard humidity (%),14.0
196,2012-01-01,2021-09-23,Switzerland,Wheat and spelt,EU standard humidity (%),14.0
197,2012-01-01,2021-09-23,United Kingdom,Wheat and spelt,EU standard humidity (%),14.0
198,2012-01-01,2021-09-23,Montenegro,Wheat and spelt,EU standard humidity (%),14.0
199,2012-01-01,2021-09-23,North Macedonia,Wheat and spelt,EU standard humidity (%),14.0
200,2012-01-01,2021-09-23,Albania,Wheat and spelt,EU standard humidity (%),14.0
201,2012-01-01,2021-09-23,Serbia,Wheat and spelt,EU standard humidity (%),14.0
202,2012-01-01,2021-09-23,Turkey,Wheat and spelt,EU standard humidity (%),14.0
203,2012-01-01,2021-09-23,Bosnia and Herzegovina,Wheat and spelt,EU standard humidity (%),14.0
204,2012-01-01,2021-09-23,Kosovo (under United Nations Security Council Resolution 1244/99),Wheat and spelt,EU standard humidity (%),14.0
205,2012-01-01,2021-09-23,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),23085.57
206,2012-01-01,2021-09-23,European Union - 27 countries (from 2020),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),21279.41
207,2012-01-01,2021-09-23,European Union - 28 countries (2013-2020),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),23271.41
208,2012-01-01,2021-09-23,Belgium,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),217.1
209,2012-01-01,2021-09-23,Bulgaria,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1166.3
210,2012-01-01,2021-09-23,Czechia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),815.38
211,2012-01-01,2021-09-23,Denmark,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),614.1
212,2012-01-01,2021-09-23,Germany (until 1990 former territory of the FRG),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),3045.0
213,2012-01-01,2021-09-23,Estonia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),124.3
214,2012-01-01,2021-09-23,Ireland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),98.03
215,2012-01-01,2021-09-23,Greece,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),162.53
216,2012-01-01,2021-09-23,Spain,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1777.12
217,2012-01-01,2021-09-23,France,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),4860.63
218,2012-01-01,2021-09-23,Croatia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),185.84
219,2012-01-01,2021-09-23,Italy,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),593.49
220,2012-01-01,2021-09-23,Cyprus,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),0.0
221,2012-01-01,2021-09-23,Latvia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),352.4
222,2012-01-01,2021-09-23,Lithuania,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),627.0
223,2012-01-01,2021-09-23,Luxembourg,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),13.52
224,2012-01-01,2021-09-23,Hungary,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1057.81
225,2012-01-01,2021-09-23,Malta,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),0.0
226,2012-01-01,2021-09-23,Netherlands,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),152.0
227,2012-01-01,2021-09-23,Austria,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),293.93
228,2012-01-01,2021-09-23,Poland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),2077.2
229,2012-01-01,2021-09-23,Portugal,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),51.08
230,2012-01-01,2021-09-23,Romania,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1988.7
231,2012-01-01,2021-09-23,Slovenia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),34.59
232,2012-01-01,2021-09-23,Slovakia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),377.69
233,2012-01-01,2021-09-23,Finland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),227.3
234,2012-01-01,2021-09-23,Sweden,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),366.37
235,2012-01-01,2021-09-23,Iceland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),0.0
